{'loss': 0.9669, 'grad_norm': 0.985085129737854, 'learning_rate': 3.747229551451187e-05, 'epoch': 0.59}
{'loss': 0.9982, 'grad_norm': 1.0146046876907349, 'learning_rate': 3.736675461741425e-05, 'epoch': 0.6}
{'loss': 0.9978, 'grad_norm': 0.8618170619010925, 'learning_rate': 3.7261213720316626e-05, 'epoch': 0.6}
{'loss': 0.9678, 'grad_norm': 0.6269063949584961, 'learning_rate': 3.7155672823219e-05, 'epoch': 0.6}
{'loss': 0.9961, 'grad_norm': 9.126092910766602, 'learning_rate': 3.7050131926121373e-05, 'epoch': 0.61}
{'loss': 0.9725, 'grad_norm': 0.7726605534553528, 'learning_rate': 3.6944591029023754e-05, 'epoch': 0.61}
{'loss': 0.9996, 'grad_norm': 1.7686764001846313, 'learning_rate': 3.683905013192612e-05, 'epoch': 0.62}
{'loss': 0.9787, 'grad_norm': 2.0378029346466064, 'learning_rate': 3.67335092348285e-05, 'epoch': 0.62}
{'loss': 0.9632, 'grad_norm': 0.8043891787528992, 'learning_rate': 3.6627968337730876e-05, 'epoch': 0.62}
{'loss': 0.9975, 'grad_norm': 0.7899817824363708, 'learning_rate': 3.652242744063324e-05, 'epoch': 0.63}
{'loss': 0.9502, 'grad_norm': 1.248057246208191, 'learning_rate': 3.641688654353562e-05, 'epoch': 0.63}
{'loss': 0.9957, 'grad_norm': 0.5617106556892395, 'learning_rate': 3.6311345646438e-05, 'epoch': 0.63}
{'loss': 0.9494, 'grad_norm': 0.8376609086990356, 'learning_rate': 3.620580474934037e-05, 'epoch': 0.64}
{'loss': 0.9747, 'grad_norm': 0.6883295774459839, 'learning_rate': 3.6100263852242745e-05, 'epoch': 0.64}
{'loss': 0.9957, 'grad_norm': 0.7858986258506775, 'learning_rate': 3.599472295514512e-05, 'epoch': 0.65}
{'loss': 0.9682, 'grad_norm': 0.678173840045929, 'learning_rate': 3.588918205804749e-05, 'epoch': 0.65}
{'loss': 0.9921, 'grad_norm': 0.8664708733558655, 'learning_rate': 3.578364116094987e-05, 'epoch': 0.65}
{'loss': 0.9532, 'grad_norm': 2.436211347579956, 'learning_rate': 3.567810026385224e-05, 'epoch': 0.66}
{'loss': 0.9584, 'grad_norm': 0.4860226809978485, 'learning_rate': 3.557255936675462e-05, 'epoch': 0.66}
{'loss': 0.9889, 'grad_norm': 0.5197482109069824, 'learning_rate': 3.5467018469656995e-05, 'epoch': 0.67}
{'loss': 0.9566, 'grad_norm': 0.9434038400650024, 'learning_rate': 3.536147757255937e-05, 'epoch': 0.67}
{'loss': 0.9817, 'grad_norm': 1.1565954685211182, 'learning_rate': 3.525593667546174e-05, 'epoch': 0.67}
{'loss': 0.9657, 'grad_norm': 0.9569644331932068, 'learning_rate': 3.515039577836412e-05, 'epoch': 0.68}
{'loss': 0.9494, 'grad_norm': 0.8844970464706421, 'learning_rate': 3.504485488126649e-05, 'epoch': 0.68}
{'loss': 1.0115, 'grad_norm': 1.871085286140442, 'learning_rate': 3.4939313984168864e-05, 'epoch': 0.69}
{'loss': 0.9679, 'grad_norm': 1.362928032875061, 'learning_rate': 3.4833773087071244e-05, 'epoch': 0.69}
{'loss': 0.9904, 'grad_norm': 1.1962897777557373, 'learning_rate': 3.472823218997361e-05, 'epoch': 0.69}
{'loss': 0.9567, 'grad_norm': 0.7334997057914734, 'learning_rate': 3.462269129287599e-05, 'epoch': 0.7}
{'loss': 0.9511, 'grad_norm': 1.4385749101638794, 'learning_rate': 3.4517150395778366e-05, 'epoch': 0.7}
{'loss': 0.9943, 'grad_norm': 1.1876174211502075, 'learning_rate': 3.441160949868074e-05, 'epoch': 0.71}
{'loss': 0.9639, 'grad_norm': 0.6001490950584412, 'learning_rate': 3.4306068601583114e-05, 'epoch': 0.71}
{'loss': 0.9966, 'grad_norm': 0.742023766040802, 'learning_rate': 3.4200527704485494e-05, 'epoch': 0.71}
{'loss': 0.9464, 'grad_norm': 0.74491286277771, 'learning_rate': 3.409498680738786e-05, 'epoch': 0.72}
{'loss': 0.9524, 'grad_norm': 1.0944782495498657, 'learning_rate': 3.398944591029024e-05, 'epoch': 0.72}
{'loss': 0.9986, 'grad_norm': 1.8805108070373535, 'learning_rate': 3.3883905013192616e-05, 'epoch': 0.73}
{'loss': 0.9417, 'grad_norm': 0.6055980324745178, 'learning_rate': 3.377836411609499e-05, 'epoch': 0.73}
{'loss': 1.0204, 'grad_norm': 1.1210700273513794, 'learning_rate': 3.367282321899736e-05, 'epoch': 0.73}
{'loss': 0.992, 'grad_norm': 0.7929530143737793, 'learning_rate': 3.356728232189974e-05, 'epoch': 0.74}
{'loss': 0.9806, 'grad_norm': 0.8901458382606506, 'learning_rate': 3.346174142480211e-05, 'epoch': 0.74}
{'loss': 1.007, 'grad_norm': 0.4559290409088135, 'learning_rate': 3.335620052770449e-05, 'epoch': 0.75}
{'loss': 0.9855, 'grad_norm': 4.070790767669678, 'learning_rate': 3.325065963060686e-05, 'epoch': 0.75}
{'loss': 1.0173, 'grad_norm': 0.9626951217651367, 'learning_rate': 3.314511873350923e-05, 'epoch': 0.75}
